Customer_ID,Customer_Name,Total_Orders,Units_Sold,Revenue,Profit,Revenue_Rank,Revenue_Contribution_Percent,Cumulative_Revenue_Percent,Revenue_Concentration_Segment
CUST00139,Karan Nair,19,57,459827.19,121576.85,78,0.0338,2.8924,Top Revenue Contributors
CUST05394,Karan Shah,12,44,459446.74,137280.3,79,0.0337,2.9262,Top Revenue Contributors
CUST03248,Meera Kumar,19,50,459384.11,93781.56,80,0.0337,2.9599,Top Revenue Contributors
CUST03711,Amit Verma,19,50,458044.16,138849.9,81,0.0336,2.9936,Top Revenue Contributors
CUST05152,Vivaan Mhaske,24,51,457598.22,128627.27,82,0.0336,3.0272,Top Revenue Contributors
CUST05012,Priya Mehta,18,52,457329.16,95811.23,83,0.0336,3.0608,Top Revenue Contributors
CUST03497,Vivaan Singh,18,56,456254.79,119968.53,84,0.0335,3.0943,Top Revenue Contributors
CUST00831,Aditya Patil,17,46,455533.36,125298.88,85,0.0335,3.1277,Top Revenue Contributors
CUST04883,Pooja Sharma,17,51,454970.57,89393.3,86,0.0334,3.1611,Top Revenue Contributors
CUST00440,Rahul Mehta,17,55,453880.07,118067.92,87,0.0333,3.1945,Top Revenue Contributors
CUST01503,Ananya Verma,21,59,452443.78,91538.93,88,0.0332,3.2277,Top Revenue Contributors
CUST01975,Neha Gupta,19,45,452009.18,104275.25,89,0.0332,3.2609,Top Revenue Contributors
CUST02242,Kavya Gupta,21,55,450315.1,105070.49,90,0.0331,3.294,Top Revenue Contributors
CUST04091,Neha Patil,18,50,448038.48,88519.8,91,0.0329,3.3269,Top Revenue Contributors
CUST04181,Amit Shah,10,35,447731.64,114992.13,92,0.0329,3.3597,Top Revenue Contributors
CUST05808,Kavya Deshmukh,12,39,447589.47,131518.2,93,0.0329,3.3926,Top Revenue Contributors
CUST04680,Ananya Deshmukh,16,42,447281.23,125947.11,94,0.0328,3.4255,Top Revenue Contributors
CUST01293,Arjun Mhaske,18,52,446482.53,126853.66,95,0.0328,3.4583,Top Revenue Contributors
CUST05337,Isha Nair,18,55,445757.93,112184.35,96,0.0327,3.491,Top Revenue Contributors
CUST05646,Priya Sharma,17,46,445404.63,113720.81,97,0.0327,3.5237,Top Revenue Contributors
CUST05640,Rahul Verma,18,46,445135.39,110656.35,98,0.0327,3.5564,Top Revenue Contributors
CUST04348,Vivaan Sharma,18,49,443559.37,100479.82,99,0.0326,3.589,Top Revenue Contributors
CUST00632,Sneha Joshi,22,65,443303.4,113507.54,100,0.0326,3.6215,Top Revenue Contributors
CUST01662,Karan Verma,19,57,441725.32,121665.86,101,0.0324,3.654,Top Revenue Contributors
CUST01940,Kavya Shah,17,44,441277.12,118108.9,102,0.0324,3.6864,Top Revenue Contributors
CUST03905,Sneha Nair,20,52,441006.14,120476.09,103,0.0324,3.7188,Top Revenue Contributors
CUST00285,Meera Joshi,20,62,439974.37,99235.35,104,0.0323,3.7511,Top Revenue Contributors
CUST02712,Neha Sharma,14,47,439296.17,131024.43,105,0.0323,3.7833,Top Revenue Contributors
CUST00563,Sneha Gupta,17,42,438336.16,121823.37,106,0.0322,3.8155,Top Revenue Contributors
CUST04854,Rahul Joshi,19,48,438168.39,107882.61,107,0.0322,3.8477,Top Revenue Contributors
CUST00341,Neha Verma,18,46,438153.61,112259.54,108,0.0322,3.8799,Top Revenue Contributors
CUST01651,Isha Mhaske,12,43,437968.27,98893.98,109,0.0322,3.9121,Top Revenue Contributors
CUST05329,Aditya Nair,19,44,437917.21,110130.63,110,0.0322,3.9442,Top Revenue Contributors
CUST05585,Rohan Gupta,19,56,437684.91,129070.84,111,0.0321,3.9764,Top Revenue Contributors
CUST00303,Vivaan Kumar,18,43,436689.29,122646.49,112,0.0321,4.0084,Top Revenue Contributors
CUST03078,Rohan Nair,16,46,436573.78,111876.54,113,0.0321,4.0405,Top Revenue Contributors
CUST02429,Aarav Nair,17,57,436473.07,128576.38,114,0.0321,4.0726,Top Revenue Contributors
CUST03896,Rahul Shah,14,39,436460.88,119273.31,115,0.0321,4.1046,Top Revenue Contributors
CUST02379,Priya Verma,15,59,435847.52,102665.25,116,0.032,4.1366,Top Revenue Contributors
CUST00756,Meera Singh,17,46,435795.43,99197.09,117,0.032,4.1686,Top Revenue Contributors
CUST02417,Pooja Nair,16,48,434769.24,100552.32,118,0.0319,4.2006,Top Revenue Contributors
CUST04414,Arjun Sharma,21,46,434529.97,108646.56,119,0.0319,4.2325,Top Revenue Contributors
CUST05162,Rohan Patil,17,42,434505.69,112294.65,120,0.0319,4.2644,Top Revenue Contributors
CUST05860,Sneha Singh,16,43,432611.05,77558.83,121,0.0318,4.2961,Top Revenue Contributors
CUST02303,Aarav Mehta,18,46,432554.02,122444.73,122,0.0318,4.3279,Top Revenue Contributors
CUST03424,Rohan Nair,19,55,431083.43,112123.53,123,0.0317,4.3596,Top Revenue Contributors
CUST01256,Arjun Joshi,16,48,430185.06,95390.27,124,0.0316,4.3912,Top Revenue Contributors
CUST00644,Neha Mehta,14,43,429682.28,121610.26,125,0.0316,4.4227,Top Revenue Contributors
CUST01780,Rahul Gupta,19,44,429658.14,82745.67,126,0.0316,4.4543,Top Revenue Contributors
CUST00614,Rahul Joshi,15,39,429409.12,95742.92,127,0.0315,4.4858,Top Revenue Contributors
CUST00607,Priya Mhaske,20,58,429215.5,109836.57,128,0.0315,4.5173,Top Revenue Contributors
CUST05528,Vivaan Deshmukh,15,45,429014.41,92182.14,129,0.0315,4.5488,Top Revenue Contributors
CUST03587,Aarav Verma,18,39,428670.43,133664.72,130,0.0315,4.5803,Top Revenue Contributors
CUST04865,Aditya Joshi,15,51,428286.87,105502.9,131,0.0315,4.6118,Top Revenue Contributors
CUST00564,Priya Deshmukh,15,52,427959.06,124421.21,132,0.0314,4.6432,Top Revenue Contributors
CUST01880,Pooja Verma,14,44,427869.61,128450.0,133,0.0314,4.6746,Top Revenue Contributors
CUST01894,Aarav Deshmukh,17,54,427626.68,117944.12,134,0.0314,4.706,Top Revenue Contributors
CUST02346,Neha Joshi,20,46,427349.64,112169.96,135,0.0314,4.7374,Top Revenue Contributors
CUST05697,Meera Gupta,20,53,427181.99,113111.33,136,0.0314,4.7688,Top Revenue Contributors
CUST05944,Vivaan Shah,20,56,426593.0,104914.84,137,0.0313,4.8001,Top Revenue Contributors
CUST00301,Rahul Nair,18,47,426415.48,100965.32,138,0.0313,4.8314,Top Revenue Contributors
CUST00689,Aarav Joshi,24,51,426338.82,87662.92,139,0.0313,4.8628,Top Revenue Contributors
CUST05185,Amit Gupta,19,43,426289.05,106828.01,140,0.0313,4.8941,Top Revenue Contributors
CUST05612,Arjun Mhaske,20,48,425956.65,90998.49,141,0.0313,4.9253,Top Revenue Contributors
CUST00234,Amit Singh,20,56,424936.45,124838.44,142,0.0312,4.9566,Top Revenue Contributors
CUST00027,Karan Gupta,19,52,424852.81,113017.41,143,0.0312,4.9878,Top Revenue Contributors
CUST04809,Amit Shah,18,47,424708.34,88080.21,144,0.0312,5.019,Top Revenue Contributors
CUST00072,Rohan Nair,19,66,424330.66,88969.87,145,0.0312,5.0501,Top Revenue Contributors
CUST04036,Kavya Sharma,16,50,423701.65,101785.04,146,0.0311,5.0812,Top Revenue Contributors
CUST03777,Meera Mehta,19,46,423522.18,101214.03,147,0.0311,5.1123,Top Revenue Contributors
CUST00846,Rahul Verma,14,39,422731.4,121653.61,148,0.031,5.1434,Top Revenue Contributors
CUST03008,Isha Gupta,17,48,421609.83,110198.8,149,0.031,5.1743,Top Revenue Contributors
CUST01742,Ananya Deshmukh,15,44,421409.09,111582.59,150,0.0309,5.2053,Top Revenue Contributors
CUST02638,Kavya Nair,23,56,421095.85,91476.66,151,0.0309,5.2362,Top Revenue Contributors
CUST05315,Karan Singh,19,46,420938.81,120411.78,152,0.0309,5.2671,Top Revenue Contributors
CUST01385,Priya Patil,13,44,420868.09,118047.54,153,0.0309,5.298,Top Revenue Contributors
CUST03477,Amit Gupta,15,37,420806.0,120021.98,154,0.0309,5.3289,Top Revenue Contributors
CUST02258,Aditya Sharma,14,44,420711.13,90064.98,155,0.0309,5.3598,Top Revenue Contributors
CUST01639,Isha Shah,20,45,419932.6,97980.17,156,0.0308,5.3907,Top Revenue Contributors
CUST00742,Rahul Patil,18,40,419575.07,105636.23,157,0.0308,5.4215,Top Revenue Contributors
CUST00682,Arjun Gupta,19,42,419527.75,98926.79,158,0.0308,5.4523,Top Revenue Contributors
CUST00613,Rahul Verma,13,44,419353.81,114413.73,159,0.0308,5.4831,Top Revenue Contributors
CUST01113,Pooja Sharma,14,44,419059.67,120203.19,160,0.0308,5.5139,Top Revenue Contributors
CUST02506,Pooja Patil,14,48,418553.33,119608.99,161,0.0307,5.5446,Top Revenue Contributors
CUST02240,Sneha Gupta,21,52,418110.38,91163.22,162,0.0307,5.5753,Top Revenue Contributors
CUST05586,Rahul Mhaske,18,47,417692.9,129015.43,163,0.0307,5.606,Top Revenue Contributors
CUST04483,Arjun Deshmukh,27,57,417594.53,103491.33,164,0.0307,5.6367,Top Revenue Contributors
CUST01818,Kavya Nair,22,47,417589.12,105524.79,165,0.0307,5.6673,Top Revenue Contributors
CUST03860,Kavya Joshi,20,47,417560.66,115068.32,166,0.0307,5.698,Top Revenue Contributors
CUST00225,Meera Patil,15,45,417430.88,96153.69,167,0.0307,5.7287,Top Revenue Contributors
CUST03577,Karan Gupta,16,42,417415.34,107677.62,168,0.0307,5.7593,Top Revenue Contributors
CUST01736,Pooja Gupta,15,42,417345.45,103934.41,169,0.0307,5.79,Top Revenue Contributors
CUST00763,Aditya Deshmukh,15,43,416816.6,117161.41,170,0.0306,5.8206,Top Revenue Contributors
CUST04338,Karan Mehta,16,42,416654.38,95831.39,171,0.0306,5.8512,Top Revenue Contributors
CUST04481,Aditya Kumar,17,49,416205.22,91784.4,172,0.0306,5.8818,Top Revenue Contributors
CUST02945,Rohan Verma,16,45,415729.94,112898.31,173,0.0305,5.9123,Top Revenue Contributors
CUST04938,Ananya Singh,23,56,413998.66,97721.63,174,0.0304,5.9427,Top Revenue Contributors
CUST01576,Kavya Singh,13,33,413346.33,115712.29,175,0.0304,5.973,Top Revenue Contributors
CUST05071,Neha Shah,20,52,412870.74,107551.32,176,0.0303,6.0034,Top Revenue Contributors
CUST03973,Aarav Mehta,17,44,412836.96,92968.8,177,0.0303,6.0337,Top Revenue Contributors
CUST05052,Arjun Deshmukh,22,46,412741.15,108744.38,178,0.0303,6.064,Top Revenue Contributors
CUST00949,Rohan Nair,18,54,412234.45,105685.03,179,0.0303,6.0943,Top Revenue Contributors
CUST05535,Meera Gupta,23,45,411793.27,120611.2,180,0.0302,6.1245,Top Revenue Contributors
CUST02199,Neha Kumar,19,52,411337.73,114965.15,181,0.0302,6.1547,Top Revenue Contributors
CUST02790,Rahul Patil,19,40,410918.0,82451.36,182,0.0302,6.1849,Top Revenue Contributors
CUST04199,Pooja Joshi,17,44,410174.83,113455.3,183,0.0301,6.215,Top Revenue Contributors
CUST02720,Arjun Mhaske,18,50,410094.8,107591.43,184,0.0301,6.2451,Top Revenue Contributors
CUST02413,Ananya Joshi,16,45,409546.71,117812.05,185,0.0301,6.2752,Top Revenue Contributors
CUST05905,Neha Patil,18,45,409465.05,103056.56,186,0.0301,6.3053,Top Revenue Contributors
CUST02056,Rahul Kumar,19,46,409390.54,103596.63,187,0.0301,6.3354,Top Revenue Contributors
CUST02995,Aarav Joshi,21,48,409184.26,107543.8,188,0.0301,6.3654,Top Revenue Contributors
CUST04964,Priya Mhaske,18,46,409013.37,107326.31,189,0.03,6.3955,Top Revenue Contributors
CUST04597,Rahul Nair,13,34,408895.22,81002.15,190,0.03,6.4255,Top Revenue Contributors
CUST04551,Priya Patil,13,44,408703.82,121192.54,191,0.03,6.4555,Top Revenue Contributors
CUST01740,Meera Kumar,16,45,408264.9,90842.92,192,0.03,6.4855,Top Revenue Contributors
CUST04736,Rahul Deshmukh,23,54,408097.11,105858.84,193,0.03,6.5155,Top Revenue Contributors
CUST00244,Isha Shah,15,43,407927.16,110110.35,194,0.03,6.5454,Top Revenue Contributors
CUST01163,Aditya Verma,13,43,406487.56,111556.96,195,0.0299,6.5753,Top Revenue Contributors
CUST05180,Ananya Verma,18,45,406453.11,111513.78,196,0.0299,6.6051,Top Revenue Contributors
CUST03125,Amit Patil,16,50,406227.77,113918.37,197,0.0298,6.635,Top Revenue Contributors
CUST01353,Priya Nair,18,41,406157.98,99989.35,198,0.0298,6.6648,Top Revenue Contributors
CUST02113,Aditya Gupta,16,46,406038.35,122738.19,199,0.0298,6.6946,Top Revenue Contributors
CUST04997,Ananya Sharma,21,46,406013.46,98439.99,200,0.0298,6.7244,Top Revenue Contributors
CUST00591,Amit Mehta,18,45,405707.65,97233.81,201,0.0298,6.7542,Top Revenue Contributors
CUST00959,Priya Mhaske,17,52,405447.85,101040.5,202,0.0298,6.784,Top Revenue Contributors
CUST03106,Aditya Joshi,16,41,404921.92,85561.15,203,0.0297,6.8137,Top Revenue Contributors
CUST05651,Ananya Deshmukh,22,50,404840.03,103035.1,204,0.0297,6.8435,Top Revenue Contributors
CUST03343,Amit Singh,15,41,404662.69,94937.84,205,0.0297,6.8732,Top Revenue Contributors
CUST02724,Amit Nair,21,62,404468.81,87521.48,206,0.0297,6.9029,Top Revenue Contributors
CUST00354,Neha Nair,18,47,403952.78,105479.65,207,0.0297,6.9326,Top Revenue Contributors
CUST00053,Vivaan Nair,19,46,403703.38,93549.98,208,0.0296,6.9622,Top Revenue Contributors
CUST02956,Priya Gupta,14,42,403165.88,74091.98,209,0.0296,6.9918,Top Revenue Contributors
CUST02749,Priya Joshi,17,46,402796.11,86227.62,210,0.0296,7.0214,Top Revenue Contributors
CUST00077,Pooja Kumar,21,53,402727.07,108328.92,211,0.0296,7.051,Top Revenue Contributors
CUST01386,Isha Deshmukh,13,39,402535.52,111772.77,212,0.0296,7.0805,Top Revenue Contributors
CUST04112,Neha Sharma,14,46,401898.15,76186.12,213,0.0295,7.11,Top Revenue Contributors
CUST03159,Pooja Verma,17,43,401884.87,86161.05,214,0.0295,7.1396,Top Revenue Contributors
CUST03052,Pooja Singh,11,37,401220.67,98316.72,215,0.0295,7.169,Top Revenue Contributors
CUST05949,Isha Sharma,18,42,400684.6,88365.45,216,0.0294,7.1985,Top Revenue Contributors
CUST05889,Kavya Deshmukh,17,54,400298.86,88433.4,217,0.0294,7.2279,Top Revenue Contributors
CUST02021,Arjun Kumar,15,36,399578.46,80693.76,218,0.0293,7.2572,Top Revenue Contributors
CUST03506,Kavya Sharma,21,53,399260.5,104940.31,219,0.0293,7.2865,Top Revenue Contributors
CUST00080,Pooja Verma,19,40,399209.45,112269.48,220,0.0293,7.3158,Top Revenue Contributors
CUST00545,Rahul Gupta,16,41,398920.82,95223.83,221,0.0293,7.3451,Top Revenue Contributors
CUST02975,Pooja Verma,22,58,398605.43,78271.0,222,0.0293,7.3744,Top Revenue Contributors
CUST04995,Amit Sharma,20,51,398477.59,112792.3,223,0.0293,7.4037,Top Revenue Contributors
CUST01448,Priya Mhaske,17,41,398359.7,111416.7,224,0.0293,7.4329,Top Revenue Contributors
CUST05323,Rohan Deshmukh,19,43,398149.73,83165.75,225,0.0292,7.4622,Top Revenue Contributors
CUST00257,Isha Sharma,15,46,398043.41,113143.3,226,0.0292,7.4914,Top Revenue Contributors
CUST02499,Pooja Gupta,14,38,397903.08,114417.48,227,0.0292,7.5206,Top Revenue Contributors
CUST00785,Rahul Patil,16,57,397513.36,82027.6,228,0.0292,7.5498,Top Revenue Contributors
CUST00154,Kavya Nair,17,48,396573.4,115333.15,229,0.0291,7.579,Top Revenue Contributors
CUST05914,Sneha Verma,15,44,396540.79,96489.44,230,0.0291,7.6081,Top Revenue Contributors
CUST02217,Aditya Verma,23,54,396475.16,101931.15,231,0.0291,7.6372,Top Revenue Contributors
CUST03761,Pooja Mhaske,15,42,396362.39,91557.75,232,0.0291,7.6663,Top Revenue Contributors
CUST04322,Arjun Nair,12,36,396267.28,92592.51,233,0.0291,7.6954,Top Revenue Contributors
CUST03056,Sneha Sharma,18,55,396095.04,82906.28,234,0.0291,7.7245,Top Revenue Contributors
CUST04430,Isha Gupta,11,37,395988.9,125964.52,235,0.0291,7.7536,Top Revenue Contributors
CUST05823,Kavya Verma,13,40,395976.55,84964.71,236,0.0291,7.7827,Top Revenue Contributors
CUST04839,Amit Singh,13,37,395759.66,119809.35,237,0.0291,7.8117,Top Revenue Contributors
CUST03697,Pooja Mehta,13,44,395555.99,90729.51,238,0.0291,7.8408,Top Revenue Contributors
CUST05925,Aditya Gupta,16,42,395479.25,87245.79,239,0.029,7.8698,Top Revenue Contributors
CUST00429,Sneha Verma,13,43,395419.71,83093.94,240,0.029,7.8989,Top Revenue Contributors
CUST01402,Sneha Joshi,13,38,395233.35,96666.88,241,0.029,7.9279,Top Revenue Contributors
CUST02662,Priya Patil,20,57,395143.26,103483.33,242,0.029,7.9569,Top Revenue Contributors
CUST05666,Rohan Deshmukh,21,50,395120.82,91748.02,243,0.029,7.9859,Top Revenue Contributors
CUST05198,Vivaan Sharma,15,43,395093.45,115530.53,244,0.029,8.0149,Top Revenue Contributors
CUST01125,Kavya Deshmukh,17,40,394868.4,96067.05,245,0.029,8.0439,Top Revenue Contributors
CUST04346,Sneha Sharma,14,39,394808.93,99944.16,246,0.029,8.0729,Top Revenue Contributors
CUST03934,Vivaan Patil,14,37,394460.28,88686.94,247,0.029,8.1019,Top Revenue Contributors
CUST05837,Ananya Patil,21,48,394185.19,103436.13,248,0.0289,8.1309,Top Revenue Contributors
CUST02704,Rohan Deshmukh,14,44,394028.1,88907.93,249,0.0289,8.1598,Top Revenue Contributors
CUST04602,Arjun Deshmukh,13,40,393966.52,116389.96,250,0.0289,8.1887,Top Revenue Contributors
CUST03485,Isha Gupta,15,35,393599.06,96925.26,251,0.0289,8.2176,Top Revenue Contributors
CUST04864,Rohan Sharma,22,56,393562.85,120017.97,252,0.0289,8.2465,Top Revenue Contributors
CUST05125,Sneha Mhaske,14,44,393376.16,81331.47,253,0.0289,8.2754,Top Revenue Contributors
CUST05785,Sneha Mehta,18,50,393165.49,96727.48,254,0.0289,8.3043,Top Revenue Contributors
CUST05775,Karan Sharma,16,38,392955.97,91170.12,255,0.0289,8.3332,Top Revenue Contributors
CUST00485,Aditya Mehta,18,53,392757.71,98400.07,256,0.0288,8.362,Top Revenue Contributors
CUST05883,Vivaan Kumar,15,41,392330.3,107689.02,257,0.0288,8.3908,Top Revenue Contributors
CUST04522,Meera Patil,15,42,392216.46,99058.32,258,0.0288,8.4196,Top Revenue Contributors
CUST05807,Isha Sharma,13,39,391822.37,101307.98,259,0.0288,8.4484,Top Revenue Contributors
CUST00821,Aarav Joshi,17,50,391812.58,107264.31,260,0.0288,8.4772,Top Revenue Contributors
CUST04665,Karan Mhaske,18,43,391766.16,119441.4,261,0.0288,8.5059,Top Revenue Contributors
CUST02935,Arjun Singh,12,33,391707.59,117615.68,262,0.0288,8.5347,Top Revenue Contributors
CUST01800,Ananya Deshmukh,19,49,391338.31,77907.79,263,0.0287,8.5635,Top Revenue Contributors
CUST01357,Priya Gupta,18,43,391229.58,83172.56,264,0.0287,8.5922,Top Revenue Contributors
CUST03310,Rohan Mehta,16,40,391002.45,112883.57,265,0.0287,8.6209,Top Revenue Contributors
CUST05116,Ananya Kumar,16,49,390987.49,100330.21,266,0.0287,8.6496,Top Revenue Contributors
CUST04750,Amit Verma,18,41,390981.86,81644.07,267,0.0287,8.6783,Top Revenue Contributors
CUST01297,Meera Joshi,22,58,390736.29,105943.56,268,0.0287,8.707,Top Revenue Contributors
CUST02361,Aditya Patil,18,49,390525.63,113487.57,269,0.0287,8.7357,Top Revenue Contributors
