Customer_ID,Customer_Name,Total_Orders,Units_Sold,Revenue,Profit,Profit_Margin_Percent,Revenue_Rank,Profit_Rank,Customer_Row_Number,Revenue_Quartile,Customer_Value_Segment
CUST01293,Arjun Mhaske,18,52,446482.53,126853.66,28.41,95,48,95,1,High Value
CUST05337,Isha Nair,18,55,445757.93,112184.35,25.17,96,146,96,1,High Value
CUST05646,Priya Sharma,17,46,445404.63,113720.81,25.53,97,128,97,1,High Value
CUST05640,Rahul Verma,18,46,445135.39,110656.35,24.86,98,164,98,1,High Value
CUST04348,Vivaan Sharma,18,49,443559.37,100479.82,22.65,99,286,99,1,High Value
CUST00632,Sneha Joshi,22,65,443303.4,113507.54,25.6,100,129,100,1,High Value
CUST01662,Karan Verma,19,57,441725.32,121665.86,27.54,101,64,101,1,High Value
CUST01940,Kavya Shah,17,44,441277.12,118108.9,26.77,102,91,102,1,High Value
CUST03905,Sneha Nair,20,52,441006.14,120476.09,27.32,103,72,103,1,High Value
CUST00285,Meera Joshi,20,62,439974.37,99235.35,22.55,104,308,104,1,High Value
CUST02712,Neha Sharma,14,47,439296.17,131024.43,29.83,105,36,105,1,High Value
CUST00563,Sneha Gupta,17,42,438336.16,121823.37,27.79,106,63,106,1,High Value
CUST04854,Rahul Joshi,19,48,438168.39,107882.61,24.62,107,184,107,1,High Value
CUST00341,Neha Verma,18,46,438153.61,112259.54,25.62,108,144,108,1,High Value
CUST01651,Isha Mhaske,12,43,437968.27,98893.98,22.58,109,318,109,1,High Value
CUST05329,Aditya Nair,19,44,437917.21,110130.63,25.15,110,166,110,1,High Value
CUST05585,Rohan Gupta,19,56,437684.91,129070.84,29.49,111,39,111,1,High Value
CUST00303,Vivaan Kumar,18,43,436689.29,122646.49,28.09,112,59,112,1,High Value
CUST03078,Rohan Nair,16,46,436573.78,111876.54,25.63,113,151,113,1,High Value
CUST02429,Aarav Nair,17,57,436473.07,128576.38,29.46,114,42,114,1,High Value
CUST03896,Rahul Shah,14,39,436460.88,119273.31,27.33,115,83,115,1,High Value
CUST02379,Priya Verma,15,59,435847.52,102665.25,23.56,116,251,116,1,High Value
CUST00756,Meera Singh,17,46,435795.43,99197.09,22.76,117,309,117,1,High Value
CUST02417,Pooja Nair,16,48,434769.24,100552.32,23.13,118,284,118,1,High Value
CUST04414,Arjun Sharma,21,46,434529.97,108646.56,25.0,119,180,119,1,High Value
CUST05162,Rohan Patil,17,42,434505.69,112294.65,25.84,120,142,120,1,High Value
CUST05860,Sneha Singh,16,43,432611.05,77558.83,17.93,121,1049,121,1,High Value
CUST02303,Aarav Mehta,18,46,432554.02,122444.73,28.31,122,60,122,1,High Value
CUST03424,Rohan Nair,19,55,431083.43,112123.53,26.01,123,148,123,1,High Value
CUST01256,Arjun Joshi,16,48,430185.06,95390.27,22.17,124,390,124,1,High Value
CUST00644,Neha Mehta,14,43,429682.28,121610.26,28.3,125,66,125,1,High Value
CUST01780,Rahul Gupta,19,44,429658.14,82745.67,19.26,126,801,126,1,High Value
CUST00614,Rahul Joshi,15,39,429409.12,95742.92,22.3,127,384,127,1,High Value
CUST00607,Priya Mhaske,20,58,429215.5,109836.57,25.59,128,170,128,1,High Value
CUST05528,Vivaan Deshmukh,15,45,429014.41,92182.14,21.49,129,474,129,1,High Value
CUST03587,Aarav Verma,18,39,428670.43,133664.72,31.18,130,31,130,1,High Value
CUST04865,Aditya Joshi,15,51,428286.87,105502.9,24.63,131,215,131,1,High Value
CUST00564,Priya Deshmukh,15,52,427959.06,124421.21,29.07,132,55,132,1,High Value
CUST01880,Pooja Verma,14,44,427869.61,128450.0,30.02,133,45,133,1,High Value
CUST01894,Aarav Deshmukh,17,54,427626.68,117944.12,27.58,134,95,134,1,High Value
CUST02346,Neha Joshi,20,46,427349.64,112169.96,26.25,135,147,135,1,High Value
CUST05697,Meera Gupta,20,53,427181.99,113111.33,26.48,136,134,136,1,High Value
CUST05944,Vivaan Shah,20,56,426593.0,104914.84,24.59,137,227,137,1,High Value
CUST00301,Rahul Nair,18,47,426415.48,100965.32,23.68,138,278,138,1,High Value
CUST00689,Aarav Joshi,24,51,426338.82,87662.92,20.56,139,601,139,1,High Value
CUST05185,Amit Gupta,19,43,426289.05,106828.01,25.06,140,197,140,1,High Value
CUST05612,Arjun Mhaske,20,48,425956.65,90998.49,21.36,141,506,141,1,High Value
CUST00234,Amit Singh,20,56,424936.45,124838.44,29.38,142,54,142,1,High Value
CUST00027,Karan Gupta,19,52,424852.81,113017.41,26.6,143,135,143,1,High Value
CUST04809,Amit Shah,18,47,424708.34,88080.21,20.74,144,589,144,1,High Value
CUST00072,Rohan Nair,19,66,424330.66,88969.87,20.97,145,558,145,1,High Value
CUST04036,Kavya Sharma,16,50,423701.65,101785.04,24.02,146,263,146,1,High Value
CUST03777,Meera Mehta,19,46,423522.18,101214.03,23.9,147,274,147,1,High Value
CUST00846,Rahul Verma,14,39,422731.4,121653.61,28.78,148,65,148,1,High Value
CUST03008,Isha Gupta,17,48,421609.83,110198.8,26.14,149,165,149,1,High Value
CUST01742,Ananya Deshmukh,15,44,421409.09,111582.59,26.48,150,156,150,1,High Value
CUST02638,Kavya Nair,23,56,421095.85,91476.66,21.72,151,491,151,1,High Value
CUST05315,Karan Singh,19,46,420938.81,120411.78,28.61,152,73,152,1,High Value
CUST01385,Priya Patil,13,44,420868.09,118047.54,28.05,153,93,153,1,High Value
CUST03477,Amit Gupta,15,37,420806.0,120021.98,28.52,154,76,154,1,High Value
CUST02258,Aditya Sharma,14,44,420711.13,90064.98,21.41,155,528,155,1,High Value
CUST01639,Isha Shah,20,45,419932.6,97980.17,23.33,156,334,156,1,High Value
CUST00742,Rahul Patil,18,40,419575.07,105636.23,25.18,157,212,157,1,High Value
CUST00682,Arjun Gupta,19,42,419527.75,98926.79,23.58,158,317,158,1,High Value
CUST00613,Rahul Verma,13,44,419353.81,114413.73,27.28,159,124,159,1,High Value
CUST01113,Pooja Sharma,14,44,419059.67,120203.19,28.68,160,74,160,1,High Value
CUST02506,Pooja Patil,14,48,418553.33,119608.99,28.58,161,81,161,1,High Value
CUST02240,Sneha Gupta,21,52,418110.38,91163.22,21.8,162,501,162,1,High Value
CUST05586,Rahul Mhaske,18,47,417692.9,129015.43,30.89,163,40,163,1,High Value
CUST04483,Arjun Deshmukh,27,57,417594.53,103491.33,24.78,164,239,164,1,High Value
CUST01818,Kavya Nair,22,47,417589.12,105524.79,25.27,165,213,165,1,High Value
CUST03860,Kavya Joshi,20,47,417560.66,115068.32,27.56,166,115,166,1,High Value
CUST00225,Meera Patil,15,45,417430.88,96153.69,23.03,167,372,167,1,High Value
CUST03577,Karan Gupta,16,42,417415.34,107677.62,25.8,168,186,168,1,High Value
CUST01736,Pooja Gupta,15,42,417345.45,103934.41,24.9,169,235,169,1,High Value
CUST00763,Aditya Deshmukh,15,43,416816.6,117161.41,28.11,170,98,170,1,High Value
CUST04338,Karan Mehta,16,42,416654.38,95831.39,23.0,171,380,171,1,High Value
CUST04481,Aditya Kumar,17,49,416205.22,91784.4,22.05,172,480,172,1,High Value
CUST02945,Rohan Verma,16,45,415729.94,112898.31,27.16,173,136,173,1,High Value
CUST04938,Ananya Singh,23,56,413998.66,97721.63,23.6,174,339,174,1,High Value
CUST01576,Kavya Singh,13,33,413346.33,115712.29,27.99,175,110,175,1,High Value
CUST05071,Neha Shah,20,52,412870.74,107551.32,26.05,176,191,176,1,High Value
CUST03973,Aarav Mehta,17,44,412836.96,92968.8,22.52,177,447,177,1,High Value
CUST05052,Arjun Deshmukh,22,46,412741.15,108744.38,26.35,178,178,178,1,High Value
CUST00949,Rohan Nair,18,54,412234.45,105685.03,25.64,179,211,179,1,High Value
CUST05535,Meera Gupta,23,45,411793.27,120611.2,29.29,180,70,180,1,High Value
CUST02199,Neha Kumar,19,52,411337.73,114965.15,27.95,181,118,181,1,High Value
CUST02790,Rahul Patil,19,40,410918.0,82451.36,20.07,182,816,182,1,High Value
CUST04199,Pooja Joshi,17,44,410174.83,113455.3,27.66,183,131,183,1,High Value
CUST02720,Arjun Mhaske,18,50,410094.8,107591.43,26.24,184,189,184,1,High Value
CUST02413,Ananya Joshi,16,45,409546.71,117812.05,28.77,185,96,185,1,High Value
CUST05905,Neha Patil,18,45,409465.05,103056.56,25.17,186,248,186,1,High Value
CUST02056,Rahul Kumar,19,46,409390.54,103596.63,25.31,187,238,187,1,High Value
CUST02995,Aarav Joshi,21,48,409184.26,107543.8,26.28,188,192,188,1,High Value
CUST04964,Priya Mhaske,18,46,409013.37,107326.31,26.24,189,193,189,1,High Value
CUST04597,Rahul Nair,13,34,408895.22,81002.15,19.81,190,889,190,1,High Value
CUST04551,Priya Patil,13,44,408703.82,121192.54,29.65,191,68,191,1,High Value
CUST01740,Meera Kumar,16,45,408264.9,90842.92,22.25,192,510,192,1,High Value
CUST04736,Rahul Deshmukh,23,54,408097.11,105858.84,25.94,193,205,193,1,High Value
CUST00244,Isha Shah,15,43,407927.16,110110.35,26.99,194,167,194,1,High Value
CUST01163,Aditya Verma,13,43,406487.56,111556.96,27.44,195,157,195,1,High Value
CUST05180,Ananya Verma,18,45,406453.11,111513.78,27.44,196,158,196,1,High Value
CUST03125,Amit Patil,16,50,406227.77,113918.37,28.04,197,127,197,1,High Value
CUST01353,Priya Nair,18,41,406157.98,99989.35,24.62,198,297,198,1,High Value
CUST02113,Aditya Gupta,16,46,406038.35,122738.19,30.23,199,58,199,1,High Value
CUST04997,Ananya Sharma,21,46,406013.46,98439.99,24.25,200,325,200,1,High Value
CUST00591,Amit Mehta,18,45,405707.65,97233.81,23.97,201,348,201,1,High Value
CUST00959,Priya Mhaske,17,52,405447.85,101040.5,24.92,202,276,202,1,High Value
CUST03106,Aditya Joshi,16,41,404921.92,85561.15,21.13,203,690,203,1,High Value
CUST05651,Ananya Deshmukh,22,50,404840.03,103035.1,25.45,204,249,204,1,High Value
CUST03343,Amit Singh,15,41,404662.69,94937.84,23.46,205,401,205,1,High Value
CUST02724,Amit Nair,21,62,404468.81,87521.48,21.64,206,606,206,1,High Value
CUST00354,Neha Nair,18,47,403952.78,105479.65,26.11,207,216,207,1,High Value
CUST00053,Vivaan Nair,19,46,403703.38,93549.98,23.17,208,435,208,1,High Value
CUST02956,Priya Gupta,14,42,403165.88,74091.98,18.38,209,1253,209,1,High Value
CUST02749,Priya Joshi,17,46,402796.11,86227.62,21.41,210,651,210,1,High Value
CUST00077,Pooja Kumar,21,53,402727.07,108328.92,26.9,211,182,211,1,High Value
CUST01386,Isha Deshmukh,13,39,402535.52,111772.77,27.77,212,153,212,1,High Value
CUST04112,Neha Sharma,14,46,401898.15,76186.12,18.96,213,1129,213,1,High Value
CUST03159,Pooja Verma,17,43,401884.87,86161.05,21.44,214,655,214,1,High Value
CUST03052,Pooja Singh,11,37,401220.67,98316.72,24.5,215,328,215,1,High Value
CUST05949,Isha Sharma,18,42,400684.6,88365.45,22.05,216,582,216,1,High Value
CUST05889,Kavya Deshmukh,17,54,400298.86,88433.4,22.09,217,580,217,1,High Value
CUST02021,Arjun Kumar,15,36,399578.46,80693.76,20.19,218,906,218,1,High Value
CUST03506,Kavya Sharma,21,53,399260.5,104940.31,26.28,219,226,219,1,High Value
CUST00080,Pooja Verma,19,40,399209.45,112269.48,28.12,220,143,220,1,High Value
CUST00545,Rahul Gupta,16,41,398920.82,95223.83,23.87,221,396,221,1,High Value
CUST02975,Pooja Verma,22,58,398605.43,78271.0,19.64,222,1013,222,1,High Value
CUST04995,Amit Sharma,20,51,398477.59,112792.3,28.31,223,138,223,1,High Value
CUST01448,Priya Mhaske,17,41,398359.7,111416.7,27.97,224,159,224,1,High Value
CUST05323,Rohan Deshmukh,19,43,398149.73,83165.75,20.89,225,787,225,1,High Value
CUST00257,Isha Sharma,15,46,398043.41,113143.3,28.42,226,133,226,1,High Value
CUST02499,Pooja Gupta,14,38,397903.08,114417.48,28.76,227,123,227,1,High Value
CUST00785,Rahul Patil,16,57,397513.36,82027.6,20.64,228,845,228,1,High Value
CUST00154,Kavya Nair,17,48,396573.4,115333.15,29.08,229,112,229,1,High Value
CUST05914,Sneha Verma,15,44,396540.79,96489.44,24.33,230,366,230,1,High Value
CUST02217,Aditya Verma,23,54,396475.16,101931.15,25.71,231,261,231,1,High Value
CUST03761,Pooja Mhaske,15,42,396362.39,91557.75,23.1,232,488,232,1,High Value
CUST04322,Arjun Nair,12,36,396267.28,92592.51,23.37,233,461,233,1,High Value
CUST03056,Sneha Sharma,18,55,396095.04,82906.28,20.93,234,797,234,1,High Value
CUST04430,Isha Gupta,11,37,395988.9,125964.52,31.81,235,50,235,1,High Value
CUST05823,Kavya Verma,13,40,395976.55,84964.71,21.46,236,708,236,1,High Value
CUST04839,Amit Singh,13,37,395759.66,119809.35,30.27,237,79,237,1,High Value
CUST03697,Pooja Mehta,13,44,395555.99,90729.51,22.94,238,516,238,1,High Value
CUST05925,Aditya Gupta,16,42,395479.25,87245.79,22.06,239,616,239,1,High Value
CUST00429,Sneha Verma,13,43,395419.71,83093.94,21.01,240,790,240,1,High Value
CUST01402,Sneha Joshi,13,38,395233.35,96666.88,24.46,241,363,241,1,High Value
CUST02662,Priya Patil,20,57,395143.26,103483.33,26.19,242,240,242,1,High Value
CUST05666,Rohan Deshmukh,21,50,395120.82,91748.02,23.22,243,481,243,1,High Value
CUST05198,Vivaan Sharma,15,43,395093.45,115530.53,29.24,244,111,244,1,High Value
CUST01125,Kavya Deshmukh,17,40,394868.4,96067.05,24.33,245,374,245,1,High Value
CUST04346,Sneha Sharma,14,39,394808.93,99944.16,25.31,246,299,246,1,High Value
CUST03934,Vivaan Patil,14,37,394460.28,88686.94,22.48,247,568,247,1,High Value
CUST05837,Ananya Patil,21,48,394185.19,103436.13,26.24,248,241,248,1,High Value
CUST02704,Rohan Deshmukh,14,44,394028.1,88907.93,22.56,249,564,249,1,High Value
CUST04602,Arjun Deshmukh,13,40,393966.52,116389.96,29.54,250,103,250,1,High Value
CUST03485,Isha Gupta,15,35,393599.06,96925.26,24.63,251,354,251,1,High Value
CUST04864,Rohan Sharma,22,56,393562.85,120017.97,30.5,252,77,252,1,High Value
CUST05125,Sneha Mhaske,14,44,393376.16,81331.47,20.68,253,879,253,1,High Value
CUST05785,Sneha Mehta,18,50,393165.49,96727.48,24.6,254,361,254,1,High Value
CUST05775,Karan Sharma,16,38,392955.97,91170.12,23.2,255,500,255,1,High Value
CUST00485,Aditya Mehta,18,53,392757.71,98400.07,25.05,256,326,256,1,High Value
CUST05883,Vivaan Kumar,15,41,392330.3,107689.02,27.45,257,185,257,1,High Value
CUST04522,Meera Patil,15,42,392216.46,99058.32,25.26,258,314,258,1,High Value
CUST05807,Isha Sharma,13,39,391822.37,101307.98,25.86,259,272,259,1,High Value
CUST00821,Aarav Joshi,17,50,391812.58,107264.31,27.38,260,194,260,1,High Value
CUST04665,Karan Mhaske,18,43,391766.16,119441.4,30.49,261,82,261,1,High Value
CUST02935,Arjun Singh,12,33,391707.59,117615.68,30.03,262,97,262,1,High Value
CUST01800,Ananya Deshmukh,19,49,391338.31,77907.79,19.91,263,1032,263,1,High Value
CUST01357,Priya Gupta,18,43,391229.58,83172.56,21.26,264,786,264,1,High Value
CUST03310,Rohan Mehta,16,40,391002.45,112883.57,28.87,265,137,265,1,High Value
CUST05116,Ananya Kumar,16,49,390987.49,100330.21,25.66,266,290,266,1,High Value
CUST04750,Amit Verma,18,41,390981.86,81644.07,20.88,267,862,267,1,High Value
CUST01297,Meera Joshi,22,58,390736.29,105943.56,27.11,268,203,268,1,High Value
CUST02361,Aditya Patil,18,49,390525.63,113487.57,29.06,269,130,269,1,High Value
CUST04238,Isha Gupta,18,40,390520.81,94021.87,24.08,270,421,270,1,High Value
CUST02588,Sneha Patil,15,46,390171.25,91641.1,23.49,271,485,271,1,High Value
CUST03073,Neha Shah,13,37,389488.84,80348.96,20.63,272,922,272,1,High Value
CUST01575,Sneha Kumar,22,50,389460.19,94503.9,24.27,273,411,273,1,High Value
CUST03505,Rahul Sharma,16,42,389009.26,87630.65,22.53,274,603,274,1,High Value
CUST05614,Rohan Patil,16,46,388990.71,83797.61,21.54,275,753,275,1,High Value
CUST00456,Meera Nair,14,34,388918.14,92412.81,23.76,276,466,276,1,High Value
CUST01187,Aditya Sharma,15,46,388828.69,75333.8,19.37,277,1179,277,1,High Value
CUST04521,Rahul Kumar,15,49,388190.7,101154.83,26.06,278,275,278,1,High Value
CUST00727,Arjun Joshi,21,51,387874.49,90967.78,23.45,279,507,279,1,High Value
CUST02381,Isha Deshmukh,26,59,387858.95,99703.08,25.71,280,305,280,1,High Value
CUST00926,Karan Patil,16,40,387760.62,116597.47,30.07,281,101,281,1,High Value
CUST03046,Aarav Mhaske,22,53,387696.79,85856.07,22.15,282,673,282,1,High Value
CUST05589,Kavya Joshi,20,43,387655.65,96454.81,24.88,283,367,283,1,High Value
CUST01611,Aditya Mehta,12,40,387120.95,115011.41,29.71,284,116,284,1,High Value
CUST02666,Amit Kumar,19,44,387019.32,118448.17,30.61,285,89,285,1,High Value
CUST03644,Kavya Nair,14,40,387016.43,94550.2,24.43,286,410,286,1,High Value
CUST02396,Rahul Joshi,19,54,386986.39,108784.29,28.11,287,177,287,1,High Value
CUST04089,Vivaan Nair,14,32,386884.75,97127.57,25.11,288,351,288,1,High Value
CUST04673,Kavya Mhaske,16,43,386852.92,101009.23,26.11,289,277,289,1,High Value
CUST00134,Meera Gupta,17,40,386708.39,90781.63,23.48,290,512,290,1,High Value
CUST05930,Aarav Joshi,17,43,386505.09,105779.23,27.37,291,209,291,1,High Value
CUST04874,Arjun Joshi,15,44,386498.87,102758.51,26.59,292,250,292,1,High Value
CUST01728,Karan Nair,14,44,386428.35,92423.87,23.92,293,465,293,1,High Value
CUST05196,Neha Kumar,15,44,386215.45,97899.55,25.35,294,336,294,1,High Value
CUST01933,Rahul Deshmukh,25,56,385891.75,95007.82,24.62,295,399,295,1,High Value
CUST05391,Rohan Nair,18,41,385796.89,101380.36,26.28,296,270,296,1,High Value
CUST00881,Rahul Mhaske,14,39,385720.69,99824.43,25.88,297,302,297,1,High Value
CUST04362,Neha Verma,13,35,385666.47,101435.32,26.3,298,267,298,1,High Value
CUST00657,Priya Mehta,14,42,385494.34,79763.11,20.69,299,944,299,1,High Value
CUST04520,Aditya Kumar,15,40,385470.23,105235.49,27.3,300,219,300,1,High Value
CUST05484,Rohan Nair,19,46,385277.83,92608.95,24.04,301,458,301,1,High Value
CUST00403,Aarav Shah,20,50,385265.74,88044.65,22.85,302,590,302,1,High Value
CUST01814,Priya Gupta,18,45,385250.36,93600.53,24.3,303,432,303,1,High Value
CUST05698,Kavya Deshmukh,14,39,385088.4,128106.4,33.27,304,46,304,1,High Value
CUST05029,Meera Singh,11,33,385067.9,84898.18,22.05,305,709,305,1,High Value
CUST02641,Pooja Patil,15,42,384955.29,111947.47,29.08,306,150,306,1,High Value
CUST01582,Ananya Gupta,14,40,384851.18,108802.02,28.27,307,176,307,1,High Value
CUST03918,Vivaan Kumar,19,57,384839.18,69909.81,18.17,308,1524,308,1,High Value
CUST00774,Aarav Singh,12,41,384838.23,78140.25,20.3,309,1024,309,1,High Value
